,Log,Runtime,Relations,Parameter
19,02_ocel_standard_order_management.json,8.268712282180786,"{""{'customers'} Partition Subset Synchronization{'employees'}"", ""{'customers'} Strict Synchronization{'employees'}""}",0.6
20,02_ocel_standard_order_management.json,8.256818294525146,"{""{'customers'} Partition Subset Synchronization{'employees'}"", ""{'customers'} Strict Synchronization{'employees'}""}",0.55
21,02_ocel_standard_order_management.json,8.074315309524536,"{""{'customers'} Partition Subset Synchronization{'employees'}"", ""{'customers'} Strict Synchronization{'employees'}""}",0.5
22,03_ocel_standard_p2p.json,71.02209043502808,"{""{'purchase_order'} Strict Synchronization {'material', 'quotation', 'invoice receipt'}"", ""{'quotation'} Strict Synchronization {'material', 'invoice receipt'}"", ""{'goods receipt', 'payment', 'purchase_requisition'} Strict Synchronization {'material', 'quotation', 'purchase_order', 'invoice receipt'}"", ""{'payment'} Strict Synchronization {'purchase_requisition'}"", ""{'payment', 'purchase_requisition'} Concurrent Implication {'goods receipt'}"", ""{'invoice receipt'} Strict Synchronization {'material'}""}",0.99
23,03_ocel_standard_p2p.json,65.96552157402039,"{""{'purchase_order'} Strict Synchronization {'material', 'quotation', 'invoice receipt'}"", ""{'quotation'} Strict Synchronization {'material', 'invoice receipt'}"", ""{'goods receipt', 'payment', 'purchase_requisition'} Strict Synchronization {'material', 'quotation', 'purchase_order', 'invoice receipt'}"", ""{'payment'} Strict Synchronization {'purchase_requisition'}"", ""{'payment', 'purchase_requisition'} Concurrent Implication {'goods receipt'}"", ""{'invoice receipt'} Strict Synchronization {'material'}""}",0.95
24,03_ocel_standard_p2p.json,20.283412218093872,"{""{'payment'} Strict Synchronization {'quotation'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_requisition'}"", ""{'invoice receipt', 'purchase_requisition'} Partition Subset Synchronization{'quotation', 'payment'}"", ""{'invoice receipt', 'purchase_requisition'} Strict Synchronization{'quotation', 'payment'}""}",0.9
25,03_ocel_standard_p2p.json,20.27522563934326,"{""{'invoice receipt', 'purchase_requisition'} Overlap Subset Synchronization{'quotation', 'payment'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_requisition'}"", ""{'payment'} Strict Synchronization {'quotation'}"", ""{'invoice receipt', 'purchase_requisition'} Strict Synchronization{'quotation', 'payment'}""}",0.85
26,03_ocel_standard_p2p.json,9.715603590011597,"{""{'payment'} Partition Subset Synchronization{'goods receipt'}"", ""{'invoice receipt'} Strict Synchronization {'quotation'}"", ""{'payment'} Strict Synchronization{'goods receipt'}""}",0.8
27,03_ocel_standard_p2p.json,8.012587070465088,"{""{'goods receipt'} Strict Synchronization {'quotation'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_order'}""}",0.75
28,03_ocel_standard_p2p.json,7.919684410095215,"{""{'goods receipt'} Strict Synchronization {'quotation'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_order'}""}",0.7
29,03_ocel_standard_p2p.json,7.813758611679077,"{""{'goods receipt'} Strict Synchronization {'quotation'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_order'}""}",0.65
30,03_ocel_standard_p2p.json,7.996850967407227,"{""{'goods receipt'} Strict Synchronization {'quotation'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_order'}""}",0.6
31,03_ocel_standard_p2p.json,7.9327356815338135,"{""{'goods receipt'} Strict Synchronization {'quotation'}"", ""{'invoice receipt'} Strict Synchronization {'purchase_order'}""}",0.55
32,03_ocel_standard_p2p.json,2.2870872020721436,"{""{'invoice receipt'} Strict Synchronization {'purchase_order'}"", ""{'goods receipt'} Strict Synchronization{'purchase_order', 'invoice receipt'}"", ""{'goods receipt'} Partition Subset Synchronization{'purchase_order', 'invoice receipt'}""}",0.5
33,04_ocel_lrms_o2c.xml,15.073986530303955,"{""{'Dispute'} Strict Synchronization {'Order'}"", ""{'Invoice'} Strict Synchronization {'Return'}"", ""{'Product'} Overlap Subset Synchronization{'Return', 'Invoice'}"", ""{'CreditNote'} Strict Synchronization {'Customer'}"", ""{'CreditNote', 'Customer'} Strict Synchronization {'Shipment', 'Payment'}"", ""{'Payment'} Strict Synchronization {'Shipment'}"", ""{'Product'} Strict Synchronization{'Return', 'Invoice'}""}",0.99
34,04_ocel_lrms_o2c.xml,25.397595405578613,"{""{'Customer'} Strict Synchronization {'Payment'}"", ""{'Order'} Strict Synchronization {'Shipment', 'Invoice'}"", ""{'Customer', 'Product', 'Payment'} Strict Synchronization {'Shipment', 'Order', 'Invoice'}"", ""{'Product'} Overlap Subset Synchronization{'Payment', 'Customer'}"", ""{'Invoice'} Strict Synchronization {'Shipment'}"", ""{'Product'} Strict Synchronization{'Payment', 'Customer'}""}",0.95
35,04_ocel_lrms_o2c.xml,118.63207340240479,"{""{'Customer'} Strict Synchronization {'Payment'}"", ""{'Product'} Strict Synchronization{'Order'}"", ""{'Payment', 'Customer'} Strict Synchronization {'Shipment', 'Invoice'}"", ""{'Product'} Overlap Subset Synchronization{'Order'}"", ""{'Order', 'Product'} Strict Synchronization {'Shipment', 'Payment', 'Customer', 'Invoice'}"", ""{'Invoice'} Strict Synchronization {'Shipment'}""}",0.9
36,04_ocel_lrms_o2c.xml,10.059311389923096,"{""{'Customer'} Strict Synchronization {'Shipment'}"", ""{'Invoice'} Strict Synchronization{'Product'}"", ""{'Invoice'} Overlap Subset Synchronization{'Product'}""}",0.85
37,04_ocel_lrms_o2c.xml,10.312963247299194,"{""{'Customer'} Strict Synchronization {'Shipment'}"", ""{'Invoice'} Strict Synchronization{'Product'}"", ""{'Invoice'} Overlap Subset Synchronization{'Product'}""}",0.8
38,04_ocel_lrms_o2c.xml,9.630333423614502,"{""{'Invoice'} Strict Synchronization{'Order'}"", ""{'Invoice'} Overlap Subset Synchronization{'Order'}"", ""{'Customer'} Strict Synchronization {'Shipment'}""}",0.75
39,04_ocel_lrms_o2c.xml,9.508013010025024,"{""{'Invoice'} Strict Synchronization{'Order'}"", ""{'Invoice'} Overlap Subset Synchronization{'Order'}"", ""{'Customer'} Strict Synchronization {'Shipment'}""}",0.7
40,04_ocel_lrms_o2c.xml,8.614239692687988,"{""{'Order'} Overlap Subset Synchronization{'Product'}"", ""{'Order'} Strict Synchronization{'Product'}"", ""{'Customer'} Strict Synchronization {'Shipment'}"", ""{'Invoice'} Strict Synchronization {'Shipment', 'Customer'}""}",0.65
41,04_ocel_lrms_o2c.xml,8.587520360946655,"{""{'Order'} Overlap Subset Synchronization{'Product'}"", ""{'Order'} Strict Synchronization{'Product'}"", ""{'Customer'} Strict Synchronization {'Shipment'}"", ""{'Invoice'} Strict Synchronization {'Shipment', 'Customer'}""}",0.6
42,04_ocel_lrms_o2c.xml,8.649866342544556,"{""{'Order'} Overlap Subset Synchronization{'Product'}"", ""{'Order'} Strict Synchronization{'Product'}"", ""{'Customer'} Strict Synchronization {'Shipment'}"", ""{'Invoice'} Strict Synchronization {'Shipment', 'Customer'}""}",0.55
43,04_ocel_lrms_o2c.xml,7.028817176818848,"{""{'Order', 'Invoice'} Strict Synchronization{'Shipment', 'Product', 'Customer'}"", ""{'Customer'} Strict Synchronization {'Shipment'}"", ""{'Order', 'Invoice'} Partition Subset Synchronization{'Shipment', 'Product', 'Customer'}"", ""{'Product'} Strict Synchronization {'Shipment', 'Customer'}"", ""{'Invoice'} Strict Synchronization {'Order'}""}",0.5
44,05_ocel_lrms_p2p.xml,36.843899965286255,"{""{'Goods Receipt'} Strict Synchronization {'Payment'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} Ordered Implication {'Purchase Order'}"", ""{'Invoice'} 0-Batch Implication {'Purchase Requisition'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} 0-Batch Implication {'Purchase Requisition', 'Invoice'}"", ""{'Supplier'} Strict Synchronization {'Goods Receipt', 'Payment'}""}",0.95
45,05_ocel_lrms_p2p.xml,27.92914056777954,"{""{'Supplier'} Strict Synchronization {'Goods Receipt', 'Payment'}"", ""{'Purchase Order'} Strict Synchronization{'Goods Receipt', 'Supplier', 'Payment'}"", ""{'Goods Receipt'} Strict Synchronization {'Payment'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} Ordered Implication {'Purchase Order'}"", ""{'Invoice'} 0-Batch Implication {'Purchase Requisition'}"", ""{'Purchase Order'} Overlap Subset Synchronization{'Goods Receipt', 'Supplier', 'Payment'}""}",0.9
46,05_ocel_lrms_p2p.xml,18.769127368927002,"{""{'Purchase Order'} Strict Synchronization {'Purchase Requisition', 'Invoice'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} Strict Synchronization{'Purchase Order', 'Purchase Requisition', 'Invoice'}"", ""{'Supplier'} Strict Synchronization {'Goods Receipt', 'Payment'}"", ""{'Invoice'} Strict Synchronization {'Purchase Requisition'}"", ""{'Goods Receipt'} Strict Synchronization {'Payment'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} Ordered Implication {'Purchase Order'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} Overlap Subset Synchronization{'Purchase Order', 'Purchase Requisition', 'Invoice'}"", ""{'Goods Receipt', 'Supplier', 'Payment'} Strict Synchronization {'Purchase Order', 'Purchase Requisition', 'Invoice'}""}",0.85
47,05_ocel_lrms_p2p.xml,2.374462842941284,"{""{'Invoice'} Strict Synchronization {'Purchase Requisition'}"", ""{'Supplier'} Overlap Subset Synchronization{'Purchase Requisition', 'Invoice'}"", ""{'Purchase Order'} Strict Synchronization {'Goods Receipt', 'Payment'}"", ""{'Goods Receipt'} Strict Synchronization {'Payment'}"", ""{'Supplier'} Strict Synchronization{'Purchase Requisition', 'Invoice'}""}",0.8
48,05_ocel_lrms_p2p.xml,2.536126136779785,"{""{'Goods Receipt', 'Supplier', 'Purchase Requisition', 'Invoice'} Strict Synchronization{'Payment', 'Purchase Order'}"", ""{'Purchase Requisition'} Strict Synchronization {'Supplier'}"", ""{'Goods Receipt', 'Supplier', 'Purchase Requisition', 'Invoice'} Overlap Subset Synchronization{'Payment', 'Purchase Order'}"", ""{'Goods Receipt', 'Invoice'} Strict Synchronization {'Supplier', 'Purchase Requisition'}"", ""{'Payment'} Strict Synchronization {'Purchase Order'}"", ""{'Goods Receipt'} Strict Synchronization {'Invoice'}""}",0.75
49,05_ocel_lrms_p2p.xml,2.617647647857666,"{""{'Goods Receipt', 'Supplier', 'Purchase Requisition', 'Invoice'} Strict Synchronization{'Payment', 'Purchase Order'}"", ""{'Purchase Requisition'} Strict Synchronization {'Supplier'}"", ""{'Goods Receipt', 'Supplier', 'Purchase Requisition', 'Invoice'} Overlap Subset Synchronization{'Payment', 'Purchase Order'}"", ""{'Goods Receipt', 'Invoice'} Strict Synchronization {'Supplier', 'Purchase Requisition'}"", ""{'Payment'} Strict Synchronization {'Purchase Order'}"", ""{'Goods Receipt'} Strict Synchronization {'Invoice'}""}",0.7
50,05_ocel_lrms_p2p.xml,1.824094295501709,"{""{'Purchase Requisition'} Strict Synchronization {'Supplier'}"", ""{'Goods Receipt', 'Invoice'} Strict Synchronization {'Supplier', 'Purchase Requisition'}"", ""{'Payment', 'Purchase Order'} Strict Synchronization{'Goods Receipt', 'Supplier', 'Purchase Requisition', 'Invoice'}"", ""{'Payment'} Strict Synchronization {'Purchase Order'}"", ""{'Payment', 'Purchase Order'} Overlap Subset Synchronization{'Goods Receipt', 'Supplier', 'Purchase Requisition', 'Invoice'}"", ""{'Goods Receipt'} Strict Synchronization {'Invoice'}""}",0.65
51,05_ocel_lrms_p2p.xml,1.9757208824157715,"{""{'Purchase Requisition'} Strict Synchronization {'Supplier'}"", ""{'Goods Receipt', 'Invoice'} Strict Synchronization {'Payment', 'Purchase Order'}"", ""{'Payment'} Strict Synchronization {'Purchase Order'}"", ""{'Supplier', 'Purchase Requisition'} Overlap Subset Synchronization{'Goods Receipt', 'Payment', 'Purchase Order', 'Invoice'}"", ""{'Supplier', 'Purchase Requisition'} Strict Synchronization{'Goods Receipt', 'Payment', 'Purchase Order', 'Invoice'}"", ""{'Goods Receipt'} Strict Synchronization {'Invoice'}""}",0.6
52,05_ocel_lrms_p2p.xml,1.899658441543579,"{""{'Purchase Requisition'} Strict Synchronization {'Supplier'}"", ""{'Goods Receipt', 'Invoice'} Strict Synchronization {'Payment', 'Purchase Order'}"", ""{'Payment'} Strict Synchronization {'Purchase Order'}"", ""{'Supplier', 'Purchase Requisition'} Overlap Subset Synchronization{'Goods Receipt', 'Payment', 'Purchase Order', 'Invoice'}"", ""{'Supplier', 'Purchase Requisition'} Strict Synchronization{'Goods Receipt', 'Payment', 'Purchase Order', 'Invoice'}"", ""{'Goods Receipt'} Strict Synchronization {'Invoice'}""}",0.55
53,05_ocel_lrms_p2p.xml,1.7546567916870117,"{""{'Purchase Requisition'} Strict Synchronization {'Supplier'}"", ""{'Goods Receipt', 'Invoice'} Strict Synchronization {'Payment', 'Purchase Order'}"", ""{'Payment'} Strict Synchronization {'Purchase Order'}"", ""{'Supplier', 'Purchase Requisition'} Overlap Subset Synchronization{'Goods Receipt', 'Payment', 'Purchase Order', 'Invoice'}"", ""{'Supplier', 'Purchase Requisition'} Strict Synchronization{'Goods Receipt', 'Payment', 'Purchase Order', 'Invoice'}"", ""{'Goods Receipt'} Strict Synchronization {'Invoice'}""}",0.5
54,06_ocel_lrms_hr.xml,28.89023494720459,"{""{'Assessment'} Strict Synchronization {'JobRequisition'}"", ""{'Candidate'} Strict Synchronization {'Assessment', 'Interviewer', 'JobRequisition'}"", ""{'Interviewer'} Overlap Subset Synchronization{'Assessment', 'JobRequisition'}"", ""{'Recruiter', 'HiringManager'} Strict Synchronization {'Candidate', 'Interviewer', 'JobRequisition', 'Assessment'}"", ""{'Assessment', 'Interviewer', 'JobRequisition'} Strict Synchronization {'Candidate', 'HiringManager', 'Recruiter'}"", ""{'Interviewer'} Strict Synchronization{'Assessment', 'JobRequisition'}"", ""{'HiringManager'} Strict Synchronization {'Recruiter'}"", ""{'Candidate'} Strict Synchronization {'Recruiter', 'HiringManager'}""}",0.99
55,06_ocel_lrms_hr.xml,9.2573721408844,"{""{'Assessment'} Strict Synchronization {'JobRequisition'}"", ""{'Candidate'} Strict Synchronization{'Interviewer'}"", ""{'HiringManager'} Strict Synchronization {'Recruiter'}"", ""{'Candidate'} Partition Subset Synchronization{'Interviewer'}""}",0.9
